ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
UC11-0018-P,all,12804,13000,1,3,196
01534,all,193,13000,1,3,
UC11-0044-S,all,12804,13000,2,3,196
01553,all,193,13000,2,3,10904
UC11-0046-S,all,12804,13000,3,3,196
02461,all,193,13000,3,3,765
UC11-6955-P,all,12804,13000,4,3,196
02543,all,193,13000,4,3,2482
UC11-0011-P,all,12803,13000,5,3,197
00297,all,194,13000,5,3,220
UC11-0039-S,all,12803,13000,6,3,197
00342,all,194,13000,6,3,
UC11-0047-S,all,12803,13000,7,3,197
00733,all,194,13000,7,3,2739
UC11-0805-P,all,12803,13000,8,3,197
00944,all,194,13000,8,3,87
UC11-0009-P,all,12802,13000,9,3,198
00168,all,195,13000,9,3,266
UC11-0022-P,all,12802,13000,10,3,198
00343,all,195,13000,10,3,16
UC11-0023-P,all,12802,13000,11,3,198
00588,all,195,13000,11,3,2297
UC11-0024-P,all,12802,13000,12,3,198
01219,all,195,13000,12,3,
UC11-0025-P,all,12802,13000,13,3,198
01788,all,195,13000,13,3,30
UC11-0036-S,all,12802,13000,14,3,198
02543,all,195,13000,14,3,2482
UC11-0037-S,all,12802,13000,15,3,198
03211,all,195,13000,15,3,1
UC11-0051-S,all,12802,13000,16,3,198
03303,all,195,13000,16,3,5520
UC11-0052-S,all,12802,13000,17,3,198
03304,all,195,13000,17,3,10
UC11-0053-S,all,12802,13000,18,3,198
03640,all,195,13000,18,3,16
UC11-0054-S,all,12802,13000,19,3,198
04549,all,195,13000,19,3,10
UC11-0479-S,all,12802,13000,20,3,198
04550,all,195,13000,20,3,
UC11-0484-S,all,12802,13000,21,3,198
04737,all,195,13000,21,3,3843
UC11-0026-P,all,12801,13000,22,3,199
00710,all,196,13000,22,3,65
UC11-0055-S,all,12801,13000,23,3,199
00717,all,196,13000,23,3,648
UC11-1314-P,all,12801,13000,24,3,199
01559,all,196,13000,24,3,32
UC12-0005-P,all,12801,13000,25,3,199
01560,all,196,13000,25,3,1708
UC12-0006-P,all,12801,13000,26,3,199
01711,all,196,13000,26,3,2599
UC12-0010-S,all,12801,13000,27,3,199
02556,all,196,13000,27,3,1691
UC12-0011-S,all,12801,13000,28,3,199
03769,all,196,13000,28,3,2802
00007,all,12800,13000,29,3,2498
00277,all,197,13000,29,3,286
00008,all,12800,13000,30,3,2896
00704,all,197,13000,30,3,2740
00009,all,12800,13000,31,3,3116
01245,all,197,13000,31,3,
00010,all,12800,13000,32,3,249
01884,all,197,13000,32,3,584
00012,all,12800,13000,33,3,2467
02257,all,197,13000,33,3,
00014,all,12800,13000,34,3,198
02259,all,197,13000,34,3,
00016,all,12800,13000,35,3,
02359,all,197,13000,35,3,7630
00020,all,12800,13000,36,3,2820
02687,all,197,13000,36,3,
00028,all,12800,13000,37,3,
03014,all,197,13000,37,3,1211
00031,all,12800,13000,38,6,105
02134,all,194,13000,38,6,
00032,all,12800,13000,39,6,
02258,all,194,13000,39,6,
00035,all,12800,13000,40,6,2385
02719,all,194,13000,40,6,
00036,all,12800,13000,41,6,825
02720,all,194,13000,41,6,2071
00038,all,12800,13000,42,6,2006
02721,all,194,13000,42,6,
00039,all,12800,13000,43,6,2006
02722,all,194,13000,43,6,
00040,all,12800,13000,44,6,1733
02885,all,194,13000,44,6,518
00041,all,12800,13000,45,6,26
02887,all,194,13000,45,6,28
00123,all,12800,13000,46,6,3016
02951,all,194,13000,46,6,75
00128,all,12800,13000,47,6,
04280,all,194,13000,47,6,
00131,all,12800,13000,48,6,
04323,all,194,13000,48,6,
00132,all,12800,13000,49,6,2169
05021,all,194,13000,49,6,48
00139,all,12800,13000,50,7,
03057,all,193,13000,50,7,4399
00292,all,12800,13000,51,7,6903
03753,all,193,13000,51,7,2268
00389,all,12800,13000,52,7,
03755,all,193,13000,52,7,63
00392,all,12800,13000,53,7,117
03968,all,193,13000,53,7,
00408,all,12800,13000,54,7,2550
03971,all,193,13000,54,7,
00411,all,12800,13000,55,7,
04552,all,193,13000,55,7,7
00635,all,12800,13000,56,8,25
01787,all,192,13000,56,8,
00884,all,12800,13000,57,8,7
02010,all,192,13000,57,8,30
01016,all,12800,13000,58,8,10870
02374,all,192,13000,58,8,
03043,all,12800,13000,59,8,4678
02375,all,192,13000,59,8,
UF11-0015-P,all,12800,13000,60,8,200
02543,all,192,13000,60,8,2482
UF11-0048-P,all,12800,13000,61,8,200
02651,all,192,13000,61,8,5603
UC11-0017-P,all,12798,13000,62,3,202
00301,all,199,13000,62,3,220
UC11-0050-S,all,12798,13000,63,3,202
00306,all,199,13000,63,3,732
UC31-0046-S,all,12786,13000,64,3,214
00162,all,211,13000,64,3,6018
UC31-0047-S,all,12783,13000,65,3,217
00185,all,214,13000,65,3,6289
UC31-0021-P,all,12782,13000,66,3,218
00486,all,215,13000,66,3,2355
UC31-0048-S,all,12782,13000,67,3,218
01040,all,215,13000,67,3,2568
UC31-0022-P,all,12777,13000,68,3,223
00034,all,220,13000,68,3,2385
UC31-0023-P,all,12777,13000,69,3,223
00140,all,220,13000,69,3,266
UC31-0049-S,all,12777,13000,70,3,223
00143,all,220,13000,70,3,110
UC31-0051-S,all,12777,13000,71,3,223
00241,all,220,13000,71,3,
UC31-0024-P,all,12776,13000,72,3,224
00081,all,221,13000,72,3,3916
UC31-0025-P,all,12776,13000,73,3,224
00187,all,221,13000,73,3,
UC31-0050-S,all,12776,13000,74,3,224
00633,all,221,13000,74,3,2
UC31-0052-S,all,12776,13000,75,3,224
00675,all,221,13000,75,3,
00053,all,12775,13000,76,3,1646
00069,all,222,13000,76,3,4
00056,all,12775,13000,77,3,60
00379,all,222,13000,77,3,
00057,all,12775,13000,78,3,
00671,all,222,13000,78,3,99
00058,all,12775,13000,79,3,
00870,all,222,13000,79,3,616
00084,all,12775,13000,80,3,3916
00874,all,222,13000,80,3,584
00085,all,12775,13000,81,3,2203
00923,all,222,13000,81,3,1
00094,all,12775,13000,82,3,3124
00939,all,222,13000,82,3,570
00095,all,12775,13000,83,3,1850
00998,all,222,13000,83,3,9153
UC31-0053-S,all,12775,13000,84,3,225
01066,all,222,13000,84,3,
UC31-7344-P,all,12775,13000,85,3,225
01078,all,222,13000,85,3,
UC32-0000-P,all,12775,13000,86,3,225
01079,all,222,13000,86,3,910
UC32-0001-P,all,12775,13000,87,3,225
01169,all,222,13000,87,3,765
UC32-0002-P,all,12775,13000,88,3,225
01300,all,222,13000,88,3,400
UC32-0003-P,all,12775,13000,89,3,225
01361,all,222,13000,89,3,4802
UC32-0004-P,all,12775,13000,90,3,225
01531,all,222,13000,90,3,4877
UC32-0005-S,all,12775,13000,91,3,225
01681,all,222,13000,91,3,2082
UC32-0006-S,all,12775,13000,92,3,225
01895,all,222,13000,92,3,
UC32-0007-S,all,12775,13000,93,3,225
01971,all,222,13000,93,3,5284
UC32-0008-S,all,12775,13000,94,3,225
02015,all,222,13000,94,3,1352
UC32-0009-S,all,12775,13000,95,3,225
02027,all,222,13000,95,3,1379
UF11-0027-S,all,12750,13000,96,3,250
00167,all,247,13000,96,3,3158
UF11-0054-S,all,12750,13000,97,3,250
00368,all,247,13000,97,3,
UF11-0007-P,all,12650,13000,98,3,350
00045,all,347,13000,98,3,825
UF11-0008-P,all,12650,13000,99,3,350
00083,all,347,13000,99,3,2203
UF11-0009-P,all,12650,13000,100,3,350
00104,all,347,13000,100,3,37
UF11-0024-S,all,12600,13000,101,3,400
00013,all,397,13000,101,3,2467
UF11-0026-S,all,12600,13000,102,3,400
00154,all,397,13000,102,3,10
UA13-0002-P,all,12407,13000,103,3,593
00012,all,590,13000,103,3,2467
UA13-0003-P,all,12402,13000,104,3,598
00148,all,595,13000,104,3,2528
00367,all,12400,13000,105,3,
00668,all,597,13000,105,3,3
UA13-0004-P,all,12398,13000,106,3,602
00011,all,599,13000,106,3,2973
UA13-X005-P,all,12394,13000,107,3,606
00076,all,603,13000,107,3,502
UA13-0007-P,all,12382,13000,108,3,618
00076,all,615,13000,108,3,502
00018,all,12375,13000,109,3,4406
00316,all,622,13000,109,3,
00142,all,12375,13000,110,3,1000
00337,all,622,13000,110,3,45
04454,all,12271,13000,111,3,729
00078,all,726,13000,111,3,40
00067,all,12269,13000,112,3,2
00009,all,728,13000,112,3,3116
00069,all,12269,13000,113,3,4
00010,all,728,13000,113,3,249
00070,all,12269,13000,114,3,4
00051,all,728,13000,114,3,10419
00071,all,12269,13000,115,3,4
00059,all,728,13000,115,3,
00072,all,12269,13000,116,3,4
00061,all,728,13000,116,3,
00073,all,12269,13000,117,3,2559
00090,all,728,13000,117,3,11
00074,all,12269,13000,118,3,2658
00094,all,728,13000,118,3,3124
00076,all,12269,13000,119,3,502
00095,all,728,13000,119,3,1850
00086,all,12269,13000,120,3,4744
00102,all,728,13000,120,3,8
00089,all,12269,13000,121,3,2184
00103,all,728,13000,121,3,6822
00090,all,12269,13000,122,3,11
00167,all,728,13000,122,3,3158
00091,all,12269,13000,123,3,25
00168,all,728,13000,123,3,266
00093,all,12269,13000,124,3,240
00488,all,728,13000,124,3,765
00130,all,12240,13000,125,3,6822
00007,all,757,13000,125,3,2498
00013,all,12171,13000,126,3,2467
00719,all,826,13000,126,3,667
00034,all,12171,13000,127,3,2385
00840,all,826,13000,127,3,667
00385,all,12151,13000,128,3,
00170,all,846,13000,128,3,2
01478,all,12150,13000,129,3,9152
