ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
UA03-0028-P,1,5441,6000,1,556,9
UA03-0033-P,1,3775,6000,2,2222,9
UA03-0040-S,1,3775,6000,3,2222,9
UA03-0027-P,2,7145,8000,4,852,416
UA03-0037-S,2,5439,6000,5,558,416
UA03-0036-S,3,7145,8000,6,852,495
UA03-0035-P,3,5360,6000,7,637,495
UA03-0031-P,4,7111,8000,8,886,529
UA03-0042-S,4,5360,6000,9,637,529
UA03-0038-S,5,7111,8000,10,886,742
UA03-0034-P,5,5147,6000,11,850,742
UA03-0041-S,6,5147,6000,12,850,3763
UA03-0032-P,6,4090,6000,13,1907,3763
UA03-0039-S,7,4090,6000,14,1907,8910
UA03-0020-P,8,4663,6000,15,1334,683
UA03-0006-P,8,2020,6000,16,214,683
UA03-0011-S,8,1879,6000,16,214,683
UA03-0136-S,8,1878,6000,16,214,683
UA03-0010-S,8,1877,6000,17,4120,683
UA03-0025-S,9,4663,6000,18,1334,1801
UA03-0008-P,9,4661,6000,19,1336,1801
UA03-0009-S,9,1875,6000,20,4122,1801
UA03-0007-P,10,4660,6000,21,1337,3680
UA03-0013-S,10,4660,6000,22,1337,3680
UA03-0005-P,11,4655,6000,23,1342,3693
UA03-0004-P,11,4652,6000,24,1345,3693
UA03-0003-P,12,4649,6000,25,1348,8351
01876,13,488,6000,26,5509,107
01477,14,476,6000,27,5521,5524
01537,15,258,6000,28,5739,5742
01154,16,237,6000,29,5521,765
01155,16,236,6000,29,5521,5527
00795,17,1955,6000,30,4042,5773
00701,18,2814,6000,31,3183,45
01970,19,494,6000,32,5278,5284
01971,19,222,6000,32,5278,5284
00625,20,2931,6000,33,143,5073
00647,20,2920,6000,33,143,101
00700,21,5099,6000,34,898,2203
01540,22,1235,6000,35,132,
01542,22,1235,6000,35,132,
00583,22,1080,6000,35,132,
00913,22,800,6000,35,132,1495
00010,22,750,6000,35,132,249
00561,22,750,6000,35,132,
01385,22,738,6000,36,346,6607
01387,22,738,6000,36,346,7621
00221,22,736,6000,36,346,
00234,22,736,6000,36,346,
01555,22,698,6000,36,346,
01858,22,668,6000,36,346,
01859,22,664,6000,36,346,94
01312,22,652,6000,36,346,735
01313,22,652,6000,37,4471,4953
01857,22,493,6000,37,4471,
01573,22,375,6000,37,4471,
00894,23,4525,6000,38,35,765
00560,23,1434,6000,38,35,
